the_geom,segmentid,bikeid,prevbikeid,status,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit,instdate,grnwy,gwsystem,spur,gwyjuris,ret_date,gwsys2,tf2facilit,ft2facilit,category
"{'type': MultiLineString, 'coordinates': [[[-73.96658008201288, 40.58559153711422], [-73.96669038098884, 40.585123704808936]]]}",0230785,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97108160285708, 40.626553708284945], [-73.97098463789594, 40.62604686494705]]]}",0230641,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97214897745388, 40.63219765516531], [-73.97200808062628, 40.63141865278057]]]}",0230614,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96599674087342, 40.588113039713065], [-73.96615981882852, 40.58741086061175]]]}",0230764,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96565030570947, 40.58962252351109], [-73.96582014496293, 40.58886806623001]]]}",0230752,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96741369125894, 40.607243004642115], [-73.96709858396846, 40.60562606136743]]]}",0230708,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9665126613323, 40.58587565878512], [-73.96658008201288, 40.58559153711422]]]}",0230782,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96694484347557, 40.583907930862736], [-73.96700014254397, 40.58381568450125], [-73.96705095524307, 40.58360889200725]]]}",0230813,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96512191714504, 40.59184088326454], [-73.96528827839296, 40.59108661047663]]]}",0230743,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96829003007196, 40.611936266981026], [-73.96780676325172, 40.609403155124]]]}",0230696,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97090852784041, 40.625653802975], [-73.9706183282386, 40.62415503059355]]]}",0295824,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96684429723052, 40.584569329339914], [-73.9668627871247, 40.584483971333945], [-73.96691948631634, 40.58419649548645]]]}",0230792,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96871881743051, 40.576304271155635], [-73.96873052692172, 40.57624705592703]]]}",0250312,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96873052692172, 40.57624705592703], [-73.96888961366318, 40.57553376584387], [-73.96896114847561, 40.57539201383457], [-73.96894589410037, 40.57527868771902]]]}",0230917,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9676456582694, 40.608492485403396], [-73.96741369125894, 40.607243004642115]]]}",0230705,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96605780917892, 40.600063956905], [-73.96562729486135, 40.59781752346336]]]}",0230720,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9702932358799, 40.622388006654425], [-73.96993641290675, 40.620457613357104]]]}",0230650,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9718561710287, 40.630675942899856], [-73.97172744650135, 40.62990901718749]]]}",0230627,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96876233831912, 40.61430169164809], [-73.96829003007196, 40.611936266981026]]]}",0230693,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96615981882852, 40.58741086061175], [-73.9663309586354, 40.58664545874261]]]}",0230776,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97464224437, 40.644813218642824], [-73.97455756904722, 40.64471057779999], [-73.97426696079121, 40.64328609691883]]]}",0230586,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96794865048437, 40.57962943992229], [-73.96810020200382, 40.578982615830604]]]}",0321249,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96751548608974, 40.581544011478954], [-73.96778191746925, 40.58039195614409]]]}",0230896,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96810020200382, 40.578982615830604], [-73.96822237225517, 40.57846118767304]]]}",0280594,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96780090818247, 40.58025999507672], [-73.96794865048437, 40.57962943992229]]]}",0321248,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97243502085023, 40.633727315495236], [-73.97231129131106, 40.633041914096005]]]}",0230605,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96882005095405, 40.61460341067749], [-73.96876233831912, 40.61430169164809]]]}",0230690,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97137314470298, 40.628069012087224], [-73.97127496468057, 40.62756846700967]]]}",0231970,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96926611184028, 40.616985623811274], [-73.96882005095405, 40.61460341067749]]]}",0230684,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96870712995916, 40.57635981861763], [-73.96871881743051, 40.576304271155635]]]}",0250311,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97231129131106, 40.633041914096005], [-73.97214897745388, 40.63219765516531]]]}",0230611,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97200808062628, 40.63141865278057], [-73.9718561710287, 40.630675942899856]]]}",0230620,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96709858396846, 40.60562606136743], [-73.96694113542486, 40.60478272878303]]]}",0230711,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96993641290675, 40.620457613357104], [-73.96973228711641, 40.61937990599352]]]}",0230653,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96477294873402, 40.59330847980363], [-73.96512191714504, 40.59184088326454]]]}",0230740,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9649864761199, 40.594447929834594], [-73.96477294873402, 40.59330847980363]]]}",0230737,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97334513238913, 40.63850773050256], [-73.97289573366068, 40.6361162481617]]]}",0230599,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96973228711641, 40.61937990599352], [-73.96926611184028, 40.616985623811274]]]}",0230681,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97127496468057, 40.62756846700967], [-73.97108160285708, 40.626553708284945]]]}",0230636,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9663309586354, 40.58664545874261], [-73.9665126613323, 40.58587565878512]]]}",0230779,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9669333576967, 40.58404904052428], [-73.96694103406922, 40.58397507641716]]]}",0230808,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96711081236987, 40.58337915673076], [-73.9672300810542, 40.58283829840238]]]}",0272095,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96694103406922, 40.58397507641716], [-73.96694484347557, 40.583907930862736]]]}",0230812,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96778191746925, 40.58039195614409], [-73.96778898530921, 40.580340216717694]]]}",0250313,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96548281958576, 40.59033750135852], [-73.96565030570947, 40.58962252351109]]]}",0230749,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96694113542486, 40.60478272878303], [-73.96650923090367, 40.60245326035985]]]}",0230714,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96582014496293, 40.58886806623001], [-73.96599674087342, 40.588113039713065]]]}",0230761,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96523171330726, 40.595690710414694], [-73.9649864761199, 40.594447929834594]]]}",0230734,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97379738896873, 40.64089555049623], [-73.97334513238913, 40.63850773050256]]]}",0230596,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96778898530921, 40.580340216717694], [-73.96780090818247, 40.58025999507672]]]}",0250314,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96671755480773, 40.58501557150327], [-73.96684429723052, 40.584569329339914]]]}",0230791,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96822237225517, 40.57846118767304], [-73.96870712995916, 40.57635981861763]]]}",0266397,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9672300810542, 40.58283829840238], [-73.96751548608974, 40.581544011478954]]]}",0272096,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96562729486135, 40.59781752346336], [-73.96523171330726, 40.595690710414694]]]}",0230731,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.9706183282386, 40.62415503059355], [-73.9702932358799, 40.622388006654425]]]}",0230647,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97098463789594, 40.62604686494705], [-73.97090852784041, 40.625653802975]]]}",0295823,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96705095524307, 40.58360889200725], [-73.96711081236987, 40.58337915673076]]]}",0230816,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96650923090367, 40.60245326035985], [-73.96605780917892, 40.600063956905]]]}",0230717,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97172744650135, 40.62990901718749], [-73.97137314470298, 40.628069012087224]]]}",0235699,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97426696079121, 40.64328609691883], [-73.97379738896873, 40.64089555049623]]]}",0230593,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.97289573366068, 40.6361162481617], [-73.97243502085023, 40.633727315495236]]]}",0230602,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96669038098884, 40.585123704808936], [-73.96671755480773, 40.58501557150327]]]}",0230788,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96691948631634, 40.58419649548645], [-73.9669333576967, 40.58404904052428]]]}",0230807,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96528827839296, 40.59108661047663], [-73.96548281958576, 40.59033750135852]]]}",0230746,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.96780676325172, 40.609403155124], [-73.9676456582694, 40.608492485403396]]]}",0230699,1331.0,NA,Current,3,OCEAN PARKWAY,SEA BREEZE AVENUE,CHURCH AVENUE,OFF,I,I,2,2,Protected,Protected,1894-06-15T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.88806248999701, 40.89556123353832], [-73.88690189163155, 40.899408212849]]]}",0236035,865.0,NA,Retired,2,VAN CORTLANDT PARK GREENWAY,VAN CORTLAND AV W,SOUTH COUNTY TRAILWAY,OFF,I,I,2,2,Unpaved,Unpaved,1900-01-01T00:00:00.000,Greenway,,,DPR,2020-10-07T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.9505142303685, 40.66972083766434], [-73.94774398825496, 40.66956869079102]]]}",0231510,1151.0,NA,Current,3,EASTERN PKWY,WASHINGTON AV,RALPH AV,OFF,I,I,2,2,Protected,Protected,1900-01-01T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.8897545278218, 40.892471783297886], [-73.88935407033001, 40.893124604181786]]]}",0236037,865.0,NA,Retired,2,VAN CORTLANDT PARK GREENWAY,VAN CORTLAND AV W,SOUTH COUNTY TRAILWAY,OFF,I,I,2,2,Unpaved,Unpaved,1900-01-01T00:00:00.000,Greenway,,,DPR,2020-10-07T00:00:00.000,,,,other
"{'type': MultiLineString, 'coordinates': [[[-73.8973833614835, 40.88608677177946], [-73.89739210747315, 40.88619895765516]]]}",0236087,6600,NA,Retired,2,VAN CORTLANDT PARK GREENWAY CONNECTOR,VAN CORTLANDT PK S,W 240 ST,OFF,I,I,2,2,Protected,Protected,1900-01-01T00:00:00.000,,,,,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.95328291675119, 40.66986972576393], [-73.95100300549204, 40.669750407280375]]]}",0231802,1151.0,NA,Current,3,EASTERN PKWY,WASHINGTON AV,RALPH AV,OFF,I,I,2,2,Protected,Protected,1900-01-01T00:00:00.000,Greenway,Historic Brooklyn,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-73.88788046278903, 40.890220388464684], [-73.88779249597589, 40.89017489328423]]]}",0236136,868.0,NA,Current,2,VAN CORTLANDT PARK GREENWAY,VAN CORTLANDT PK S,VAN CORTLANDT PK EXT S,OFF,I,I,2,2,Protected,Protected,1900-01-01T00:00:00.000,Greenway,Mosholu-Pelham,Main Alignment,DPR,,,,,bike_lane_install
"{'type': MultiLineString, 'coordinates': [[[-74.01627987371937, 40.67865427386302], [-74.01690346029062, 40.6781232234621]]]}",0018002,1160.0,NA,Current,3,FERRIS ST,KING ST,VAN DYKE ST,ON,III,III,2,2,Signed Route,Signed Route,1900-01-01T00:00:00.000,Greenway,Brooklyn Waterfront,Main Alignment,DOT,,,,,other
